wisconsin,54.39,0.43,23.11,0.33,15.83,0.77,609,90,66,217,40,50
southeastern-louisiana,59.67,0.41,21.11,0.29,17.22,0.66,588,143,31,315,40,50
iona,56.15,0.41,25.85,0.31,18.46,0.74,435,108,49,198,40,50
north-alabama,55.21,0.42,20.74,0.33,20.37,0.69,666,121,49,275,40,66.7
charlotte,51.69,0.45,17,0.33,21,0.72,526,140,59,246,40,44.4
towson,58.32,0.43,20,0.32,18.68,0.76,707,121,58,223,40,60
norfolk-state,57.74,0.41,22.95,0.32,18.84,0.71,696,146,36,302,33.3,60
illinois-state,57,0.43,21.5,0.35,14.44,0.67,605,99,48,257,37.5,14.3
texas-el-paso,54.47,0.43,21.58,0.29,20.26,0.77,665,119,58,284,62.5,33.3
san-jose-state,59.37,0.4,26.11,0.3,20.68,0.69,689,113,69,237,50,50
long-beach-state,56.7,0.44,17.45,0.36,17.95,0.69,674,127,74,309,42.9,44.4
clemson,56.65,0.43,25.41,0.32,17.35,0.67,587,128,41,253,40,33.3
arkansas-state,53.25,0.44,16,0.35,25.9,0.7,661,148,60,296,80,62.5
coppin-state,61.8,0.39,29.8,0.27,18.95,0.63,747,134,50,301,37.5,55.6
fairleigh-dickinson,58.94,0.44,20.81,0.31,15.94,0.71,519,95,58,207,66.7,62.5
niagara,57.76,0.43,21.53,0.36,12.76,0.77,465,115,39,242,37.5,40
georgia-tech,56.67,0.45,16.89,0.29,17.78,0.65,634,132,89,258,44.4,87.5
western-michigan,57.89,0.42,22.61,0.31,22.28,0.72,625,100,37,224,66.7,50
grand-canyon,55.72,0.43,18.17,0.32,17.72,0.76,583,96,23,220,37.5,20
longwood,56.47,0.4,26.26,0.32,19.95,0.72,661,133,30,277,37.5,14.3
idaho,56.88,0.45,15.41,0.31,17.29,0.67,589,98,43,207,37.5,50
northwestern,57.35,0.42,19.76,0.32,16.12,0.75,588,81,43,194,37.5,40
idaho-state,54.06,0.46,19.88,0.35,19.06,0.61,558,83,36,191,37.5,62.5
howard,60.32,0.41,20.79,0.32,19.05,0.68,643,114,53,259,37.5,71.4
holy-cross,58.11,0.44,22,0.33,13.53,0.65,631,88,43,208,37.5,33.3
missouri,55.12,0.42,22.65,0.31,17.71,0.76,592,131,48,265,37.5,66.7
montana-state,53.17,0.45,19,0.33,17.83,0.75,626,104,40,195,33.3,71.4
george-washington,55.06,0.42,23.17,0.33,17.11,0.74,600,93,79,196,50,50
detroit-mercy,59.45,0.38,27.5,0.32,18.75,0.79,724,120,61,248,66.7,41.7
iupui,59.05,0.41,21.75,0.34,19.65,0.64,719,138,53,263,36.4,50
albany-ny,54.26,0.42,22.53,0.33,20.37,0.71,661,103,53,249,28.6,55.6
texas,57.35,0.44,25.41,0.34,12.06,0.64,573,96,81,244,33.3,71.4
missouri-state,56,0.43,18.95,0.35,16.05,0.75,683,113,50,228,33.3,71.4
tennessee,54.35,0.42,20.24,0.3,18.29,0.75,627,102,100,234,33.3,50
san-diego,57.9,0.42,21.38,0.33,16.95,0.67,718,116,68,276,33.3,45.5
loyola-marymount,52.84,0.46,18.21,0.32,17.47,0.64,567,122,41,262,50,50
southern-mississippi,58.21,0.44,16.42,0.3,13.89,0.73,650,128,47,253,50,22.2
jackson-state,60.67,0.41,19.11,0.25,17.06,0.67,551,160,63,305,0,46.2
gardner-webb,57.12,0.42,22.18,0.33,20.35,0.69,595,105,74,208,25,55.6
hartford,55.74,0.42,22.68,0.34,17.53,0.7,641,141,47,261,33.3,80
north-carolina-central,55.94,0.45,18.33,0.29,17.5,0.67,593,171,56,334,100,35.7
illinois-chicago,55.8,0.43,22.95,0.33,16.45,0.69,712,112,82,243,40,62.5
kansas-state,53.65,0.43,21.65,0.33,19.06,0.67,564,150,48,288,40,50
boston-college,58,0.4,22.72,0.29,17.56,0.66,604,159,51,297,36.4,42.9
pittsburgh,55.72,0.41,18.28,0.3,20.94,0.72,640,142,67,291,33.3,83.3
eastern-michigan,54.39,0.41,20.94,0.29,22.83,0.63,635,203,57,337,40,50
columbia,59.41,0.42,24.18,0.33,14.24,0.73,611,92,65,201,33.3,57.1
alabama-am,62.12,0.38,21.19,0.27,16.56,0.69,558,102,35,207,80,70
monmouth,57.71,0.41,20.06,0.36,18.82,0.73,563,140,47,271,33.3,42.9
jacksonville,56.15,0.41,21.5,0.29,17.65,0.67,773,103,44,220,33.3,71.4
chicago-state,52.67,0.41,18,0.33,20.76,0.73,644,114,57,262,28.6,30
saint-peters,56.5,0.4,17.75,0.38,20.12,0.7,617,125,69,245,50,77.8
incarnate-word,58.59,0.4,19,0.28,17.41,0.72,582,118,42,253,33.3,22.2
lehigh,57.67,0.45,16.11,0.33,14.06,0.77,617,102,46,221,33.3,42.9
stetson,51.7,0.44,18.3,0.33,20.5,0.64,714,127,55,238,33.3,100
california,53.28,0.42,14.83,0.34,17.89,0.72,602,74,44,216,30,75
high-point,55.56,0.39,18.89,0.29,21.67,0.7,631,89,61,218,30,37.5
south-florida,54.44,0.41,20.89,0.32,19.67,0.61,601,157,40,307,54.5,33.3
montana,57.72,0.44,16.11,0.33,15.28,0.71,588,115,68,264,30,57.1
cornell,58.71,0.42,24.5,0.28,15.29,0.71,492,96,43,176,30,100
dartmouth,55.56,0.44,23,0.33,15.75,0.65,579,74,39,198,30,40
presbyterian,54.78,0.44,19.61,0.31,16.39,0.69,617,106,38,217,28.6,30
oakland,53.4,0.43,19.65,0.29,19.7,0.68,726,124,51,244,28.6,54.5
southern-illinois,50.63,0.43,21.16,0.32,15.89,0.73,578,122,38,261,88.9,14.3
cal-state-fullerton,54.42,0.42,18.53,0.32,18.16,0.67,631,105,57,252,50,50
southeast-missouri-state,55.32,0.42,17.74,0.32,20.32,0.67,617,107,39,253,50,22.2
