,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
128,citadel,84,ETSU,96,63,.492,23,.348,21,.667,20,8,1,9,81.80,65,.554,23,.391,21,.714,45,6,5,16,0
129,Carver-College,40,citadel,108,66,.227,25,.160,11,.545,21,5,1,20,0,76,.526,36,.361,17,.882,57,10,4,14,81.80
130,citadel,129,Piedmont,83,80,.575,31,.452,30,.767,44,15,4,14,81.80,70,.371,36,.444,22,.682,35,8,3,24,0
131,citadel,102,Longwood,99,77,.429,41,.341,28,.786,42,8,1,16,33.30,85,.435,43,.279,16,.813,45,10,2,20,1
132,NC-State,83,citadel,63,66,.470,26,.308,19,.684,45,8,4,9,1,68,.338,45,.311,8,.375,33,7,1,13,33.30
133,citadel,68,Samford,69,63,.365,36,.333,16,.625,35,10,3,18,33.30,59,.458,18,.167,17,.706,38,5,2,16,1
134,Western-Carolina,86,citadel,82,62,.468,34,.441,20,.650,39,5,2,12,0,68,.500,28,.286,15,.400,34,3,4,11,81.80
135,citadel,71,Wofford,73,64,.359,33,.303,21,.714,38,6,2,12,33.30,56,.411,27,.259,31,.645,38,4,6,12,1
136,UNC-Greensboro,79,citadel,69,74,.392,28,.321,16,.750,34,17,1,15,0,51,.471,29,.310,17,.706,38,8,3,32,81.80
137,VMI,88,citadel,79,70,.414,35,.314,25,.760,39,6,3,11,1,61,.410,24,.375,23,.870,29,4,2,14,33.30
138,citadel,69,Chattanooga,92,59,.356,25,.240,25,.840,28,7,2,13,33.30,65,.492,28,.429,22,.727,43,6,3,14,1
139,Furman,78,citadel,54,63,.429,28,.357,22,.636,32,13,1,13,0,47,.362,25,.160,24,.667,34,5,6,21,81.80
140,citadel,56,Wofford,79,56,.339,28,.214,18,.667,25,4,2,11,81.80,58,.569,26,.269,13,.462,37,6,1,11,0
141,Indiana-State,81,dayton,86,57,.474,15,.400,27,.778,36,5,1,11,0,60,.483,27,.259,30,.700,31,5,5,9,81.80
142,dayton,90,Charleston-Southern,61,61,.607,24,.375,9,.778,38,6,2,17,81.80,61,.410,16,.438,6,.667,23,8,2,17,0
143,dayton,93,Omaha,68,64,.578,27,.370,15,.600,31,6,5,10,81.80,59,.458,18,.444,11,.545,29,6,1,13,0
144,Georgia,61,dayton,80,49,.490,16,.250,17,.529,25,7,2,22,1,55,.491,27,.370,19,.842,23,6,7,14,33.30
145,dayton,89,Virginia-Tech,62,55,.636,24,.458,14,.571,33,2,1,14,33.30,51,.431,21,.381,18,.556,20,7,3,9,1
146,Kansas,90,dayton,84,59,.559,11,.364,28,.714,34,7,5,11,1,62,.435,33,.485,19,.737,27,6,5,12,33.30
